MatchID,EventID,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
5416,186,337,1649,FaZe Clan,pick me up,2,0
5421,186,1166,1648,Time In,Shadow Life,2,0
5430,186,632,1242,Dignitas,Illinois Servers Please,2,0
4838,202,547,1063,ex-Giants Gaming,S2V Esports,2,0
5406,206,1592,1594,Fox Gaming,Team Majesty,2,1
5302,196,984,1491,Team Toxic,FARESHI,1,0
5304,196,703,252,Wizards Club,Akademus Esport,1,0
5307,196,1490,1619,1stCav eSport Club,Catalyst Esports,1,0
5324,196,1346,1548,hREDS,Eternal Zen Gaming,1,0
5333,196,689,1497,Washington Muscle,The Box by Infinity Area,1,0
5350,196,529,1632,Rix.GG,KHABHAT GAMING,1,0
5071,196,257,1531,G2 Esports,N0thing To L0se,1,0
5073,196,439,1474,Opportunists,eSuba,1,0
5074,196,3,478,Ninjas in Pyjamas,Lunaris,1,0
5075,196,1190,657,MJAOMODE,ROG Esport,1,0
5077,196,474,673,Team Liquid,Team Finest,1,0
5078,196,4538,984,Team Queso,Team Toxic,1,0
5079,196,628,1550,FunPlus Phoenix,Mik0nsDisciple,1,0
5080,196,241,1539,Purple Cobras,mens)),1,0
5081,196,326,876,nolpenki,Enterprise Esports,1,0
5082,196,1001,61,Team Heretics,L'institut,1,0
5083,196,668,641,SUMN FC,Entropiq Bravo,1,0
5084,196,547,529,ex-Giants Gaming,Rix.GG,1,0
5085,196,1189,702,eXiLe eSports,STR99,1,0
5039,196,257,63,G2 Esports,InetGamer,1,0
5043,196,439,1533,Opportunists,Sprayz Gaming,1,0
5044,196,1474,1548,eSuba,Eternal Zen Gaming,1,0
5047,196,1190,1535,MJAOMODE,ODCINKA V2,1,0
5054,196,984,703,Team Toxic,Wizards Club,1,0
5060,196,876,1556,Enterprise Esports,Merge,1,0
5063,196,668,1551,SUMN FC,Constant rise,1,0
4922,190,397,1438,BBL Esports,TRAMPET,2,0
5182,187,1097,1151,FlyToMoon,Team Empire ,1,2
5193,187,682,1353,Gambit Esports,zazemlenie,2,0
5198,187,1575,1576,Sekai,FiftyOne,2,1
5202,187,1417,1580,THEX,feelmyhack,2,0
4921,190,6132,1438,İstanbul Wildcats,TRAMPET,1,2
4919,190,6132,1452,İstanbul Wildcats,Mod-Z,2,0
4920,190,1438,935,TRAMPET,Anatolia Esports,2,1
5087,196,257,1456,G2 Esports,PENTA,1,0
5088,196,63,252,InetGamer,Akademus Esport,1,0
5102,196,1421,1174,Chakalaka,Yendez,1,0
5135,196,668,1530,SUMN FC,Digital Ninjas,1,0
5159,187,1151,415,Team Empire ,komand04ka,2,0
5160,187,1518,1519,InFernal,FFT,1,2
5161,187,575,1520,Eloquence,Ice Donuts,2,0
5166,187,1353,1528,zazemlenie,NoNameG0Ds,2,0
4914,190,397,1438,BBL Esports,TRAMPET,2,0
5036,208,1182,1481,Daytrade Gaming,NG.Black,2,0
5037,208,1483,1485,QConfirm,Aricat Esport,2,0
4880,186,427,120,Envy,100 Thieves,3,0
5234,206,1594,1596,Team Majesty,Alterfox Esports,2,1
4982,204,1448,1442,Team Portugal,Team Spain,1,0
5009,207,673,1190,Team Finest,MJAOMODE,2,0
5010,207,1342,395,Axsor,Dawn of Stars,2,0
4965,204,1449,1450,Team UK,Team Nordics,1,0
4979,167,868,1146,Noble India,Godlike Esports,3,0
4879,186,2,120,Sentinels,100 Thieves,1,2
4176,182,1208,863,ORDER,Notick,2,0
4878,186,468,427,Renegades,Envy,1,2
4505,108,368,719,Estral Esports,Australs,2,3
4876,186,2,14,Sentinels,T1,2,1
4960,204,1448,1451,Team Portugal,Team CIS,1,0
4959,204,1449,1447,Team UK,Team DACH,1,0
4957,204,1448,1449,Team Portugal,Team UK,1,0
4174,182,378,1208,EXO Clan,ORDER,2,1
4175,182,863,265,Notick,RipNTear,2,0
4870,186,427,632,Envy,Dignitas,2,1
4172,182,378,863,EXO Clan,Notick,2,1
4173,182,1208,265,ORDER,RipNTear,2,0
4873,186,468,1312,Renegades,Slimy Boogermen,2,0
4871,186,106,468,TSM,Renegades,2,1
4976,176,4894,1309,Keyd Stars,Mix,3,2
4864,186,120,642,100 Thieves,Luminosity,2,1
4844,177,439,682,Opportunists,Gambit Esports,2,1
4862,186,188,120,Cloud9,100 Thieves,2,1
4952,204,1445,1446,Team Turkey,Team Italy,1,0
4950,204,1442,1443,Team Spain,Team France,1,0
4949,204,1443,1446,Team France,Team Italy,1,0
4917,190,1452,1453,Mod-Z,OtherSide,2,1
4947,204,1445,1443,Team Turkey,Team France,1,0
4946,204,1443,1444,Team France,Team Poland,1,0
4941,182,1208,656,ORDER,Avant,1,0
4930,182,378,591,EXO Clan,Mindfreak,1,0
4938,182,656,680,Avant,Kanga Esports,1,0
4937,182,863,656,Notick,Avant,1,0
4936,182,1208,680,ORDER,Kanga Esports,1,0
4944,176,4894,581,Keyd Stars,Liberty ,2,0
4872,186,473,1312,Built By Gamers,Slimy Boogermen,1,2
4869,186,302,632,Spot Up,Dignitas,1,2
4860,186,106,473,TSM,Built By Gamers,2,0
4837,202,2499,4616,Movistar Riders,UCAM Esports Club,1,0
4858,186,427,302,Envy,Spot Up,2,0
4859,186,2,632,Sentinels,Dignitas,2,0
4836,202,547,2499,ex-Giants Gaming,Movistar Riders,1,0
4835,202,2499,4616,Movistar Riders,UCAM Esports Club,1,0
4834,202,547,1416,ex-Giants Gaming,Nexus Gaming,1,0
4910,190,397,1433,BBL Esports,DEVOTEES,2,0
4912,190,6132,1436,İstanbul Wildcats,Vital Force,2,1
4908,176,581,792,Liberty ,tiobarão,1,0
4863,186,533,642,XSET,Luminosity,1,2
