PlayerID,PlayerName,TeamAbbr,TeamID,TeamName
10651,hideonsmoke,TS,6199.0,Team Secret
10648,noriyuki,,,
10639,K1llgrave,INSM,5148.0,Insomnia
10638,tempz,FG,5649.0,Fadee Gaming
10637,momidi,FG,5649.0,Fadee Gaming
10635,Hakuja,STCE,2986.0,SETOUCHI ENLIFE
10630,Kyonn,FEL,2987.0,Feeling
10628,Misaya,FEL,2987.0,Feeling
10627,Art,FEL,2987.0,Feeling
10626,Osanpo,FEL,2987.0,Feeling
10620,Hez,CG,6211.0,cowana Gaming
10617,Shinryaku,GTS,2983.0,Gaming Team SELECTOR
10614,Aarin,IXA,2984.0,iXA
10613,柳ヶ瀬鈴乃,IXA,2984.0,iXA
10612,mnz,IXA,2984.0,iXA
10611,Swee,IXA,2984.0,iXA
10610,Affe,IXA,2984.0,iXA
10604,Fearay,FNK,3125.0,Funkboings
10603,MLPK,TWIN,2605.0,Twin Esports
10602,Hoffeins,TWIN,2605.0,Twin Esports
10601,Herro,TWIN,2605.0,Twin Esports
10600,Bucky,TWIN,2605.0,Twin Esports
10599,khanbigd,INF,5426.0,The Infinity Esports
10597,warwick,INF,5426.0,The Infinity Esports
10590,YAYA,GTS,2983.0,Gaming Team SELECTOR
10588,hiroronn,GTS,2983.0,Gaming Team SELECTOR
10587,SepiaMars,INSM,5148.0,Insomnia
10586,kaguya,GTS,2983.0,Gaming Team SELECTOR
10585,Astell,NTH,2988.0,NORTHEPTION
10584,Seoldam,이사가자,6615.0,이사가자
10583,Eiby,GRAN,4987.0,Granjeros
10582,Panaek,PGT,2366.0,Phinance G
10581,Ryu,FNK,3125.0,Funkboings
10575,Reverse,REVE,3129.0,Reven Esports
10573,Sera,PÊEK,2606.0,PÊEK Gaming
10568,Nefty,FNK,3125.0,Funkboings
10567,wolfe,FNK,3125.0,Funkboings
10563,Chimi,TWIN,2605.0,Twin Esports
10561,Speekth,,,
10560,Mopix,,,
10559,Muffin,,,
10558,Tato,CNG,3127.0,CNG Esports
10557,Darker,CNG,3127.0,CNG Esports
10556,drakk,CNG,3127.0,CNG Esports
10555,Sakura,CNG,3127.0,CNG Esports
10554,Fiunle,CNG,3127.0,CNG Esports
10553,zidduk,ATRO,4353.0,ATROPELADOS
10550,Xuto,CT,4349.0,Cataclysm Team
10543,Safiro,LEV,2359.0,Leviatán
10524,fncjulien,YZ,1174.0,Yendez
10521,trinity,AEEC,3179.0,Anti Eco Eco Club
10520,Akame,AEEC,3179.0,Anti Eco Eco Club
10519,FLoydQ,AEEC,3179.0,Anti Eco Eco Club
10518,Sing,AEEC,3179.0,Anti Eco Eco Club
10515,Mao,TTS,3112.0,TRAITORS
10512,kevinzone,TTS,3112.0,TRAITORS
10511,bibiwater,TTS,3112.0,TRAITORS
10505,C8Jason,VF,4273.0,Victory Formula
10504,yolow,SSW,3700.0,Shi Shui Wen
10502,Krzysiek,LT,6045.0,Lenny Time
10501,FuriousMeow,GFN,3107.0,Griffin E-Sports
10496,PAULTATO,KPC,3546.0,KPC Computer Studio
10492,cuda,GMM,5327.0,Team GMM
10489,NickPan,FA,6397.0,Five Ace e-Sports
10486,YHchen,FA,6397.0,Five Ace e-Sports
10485,Anc1enT,TTSH,3102.0,TTSH
10484,Jimmy,TTSH,3102.0,TTSH
10483,Lookapok,TTSH,3102.0,TTSH
10482,pigeonlll,TTSH,3102.0,TTSH
10481,JuanMao,TTSH,3102.0,TTSH
10478,KoKKi,TMP,2913.0,TempesT
10477,DrixoT,SUS,5998.0,SUS SquaD
10476,Kubrix,SUS,5998.0,SUS SquaD
10475,AEZ,SUS,5998.0,SUS SquaD
10474,ChoBz,SUS,5998.0,SUS SquaD
10469,Con3,TEAM,6911.0,Team NAME
10464,VaiByGoD,TEAM,6911.0,Team NAME
10463,PaRaDoXks,TR,6436.0,Team Turkey
10460,Deoxys,QQQ,4730.0,QQQ
10458,phaze,RAAD,1471.0,Team RA'AD
10457,Wezy,RAAD,1471.0,Team RA'AD
10442,SaiyanS,HYDRA,2718.0,Hydrated
10441,Nessa,RAEB,2980.0,raeB's Anime Club
10440,slaze,PLR,6273.0,Polaris
10439,shellXO,MRB,4920.0,Moon Raccoons Black
10438,cris,RAEB,2980.0,raeB's Anime Club
10436,Thigwrb,ELYS,6419.0,Elysium
10435,patu,RAEB,2980.0,raeB's Anime Club
10434,raeB,BAV,5549.0,Bay Area Vandals
10431,Veon1n,NW,3830.0,No Witness
10428,ThePedros,FG,5649.0,Fadee Gaming
10414,INSOMNIA,ŚWI,,
10413,17nik,POIN,3047.0,PointAndClick
10412,MAGIE,POIN,3047.0,PointAndClick
10407,Ave,IG,5461.0,Invictus Gaming
10406,Magni,IG,5461.0,Invictus Gaming
10405,LifT,IG,5461.0,Invictus Gaming
10404,FriX,IG,5461.0,Invictus Gaming
10402,mengas,EGN,4671.0,EGN Esports
10397,dNEL,LVL,5854.0,LvL Up Esport
10396,NORTY,LVL,5854.0,LvL Up Esport
10378,ALMO,ANON,5441.0,Anonymo Esports
10375,Braso,OFF,3079.0,Offlimits
10373,JETT,,,
10372,FriZz0,DIAX,1420.0,DiaXmix
10370,Samee1G,TEAM,6911.0,Team NAME
10369,enqy,TEAM,6911.0,Team NAME
10368,FatGuy,TEAM,6911.0,Team NAME
10363,alfa,CIRC,1816.0,Circe
10362,Jeehvi,TOOOLS,3821.0,TOOOLS esports
10361,WhiteDjango,DRIV,4751.0,driveBy
10354,Floko,OVAT,4173.0,Ovation eSports
10340,jona,AT,3347.0,Angry Titans
10339,AFoxx,AT,3347.0,Angry Titans
10338,Lime,AT,3347.0,Angry Titans
10328,Frosty,UL,2725.0,Unsigned Losers
10327,TiKeX,MONK,6341.0,Monkey Momentum
10326,megaputte,MONK,6341.0,Monkey Momentum
10325,Spo,TEAM,6911.0,Team NAME
10319,hrZXv3,ENDA,3929.0,Endavant
10318,Ilyes2k,ENDA,3929.0,Endavant
10312,Kiiyo,S5,6446.0,Stunned5
10311,Drongo,TEAM,6911.0,Team NAME
10310,Bassey,TEAM,6911.0,Team NAME
10309,NoChill5K,TEAM,6911.0,Team NAME
10308,Intact,TEAM,6911.0,Team NAME
10307,marteen,RUGR,5245.0,Rugrats
10301,WheelsOnFire,BEE,3861.0,Békéscsabai E-sport Egyesület
10294,Dayos,FLYM,3007.0,FlyMatez
10293,Gora,FLYM,3007.0,FlyMatez
10292,Kizuroy,FLYM,3007.0,FlyMatez
10291,SwiN,FLYM,3007.0,FlyMatez
10290,SebiHussle,FLYM,3007.0,FlyMatez
10288,Shicoed,GAMI,6724.0,Gaming Barracks
10282,ziipt,TOH,4154.0,Toh 'n' Friends
10278,TBLOYMACHINE97,TOH,4154.0,Toh 'n' Friends
10273,Fatiiiih,BREF,1175.0,bref
10270,Dev0,TGH,6141.0,The Goose House
10254,magicss,PIR,2746.0,6045Pirates
10241,eugeneS,VEN,3349.0,Vendetta
10239,Bloxx,FEC,2952.0,Fulcrum Esports Catalyst
10238,rjolicious,FEC,2952.0,Fulcrum Esports Catalyst
10237,DrinSanity,FEC,2952.0,Fulcrum Esports Catalyst
10236,S1000,SV,4891.0,SV Empire
10235,JediBee,FEC,2952.0,Fulcrum Esports Catalyst
10219,zerv,TFO,2957.0,The First Order
10218,Tr1X,OAS,3136.0,Oasis Gaming
10217,Marky,OAS,3136.0,Oasis Gaming
10216,coco,OAS,3136.0,Oasis Gaming
10215,kurtesy,OAS,3136.0,Oasis Gaming
10204,sm0keyz,ULVL,2950.0,ULVL
10203,tesseract,APH,5366.0,Action PH
10202,c0ncept,ULVL,2950.0,ULVL
10200,Kaka,ULVL,2950.0,ULVL
10196,yabba,,,
10195,Matteo,,,
10194,skwamy,,,
10193,FleX,,,
10190,GabbyDiz,DR,3504.0,DR Esports
10188,citrous,,,
10187,Merieux,SGG,283.0,Sengoku Gaming
10186,pinck,BB,2910.0,Boca Boston
10183,VJT,DTG,3362.0,Dark Tigers
10172,Pixelzz,VL,4829.0,Team Valor
10165,Rasney,COUS,3965.0,COUSINS
10164,LeoUmarkuLoV,BB,2910.0,Boca Boston
10163,CyderX,KFLR,3261.0,Kafalar eSports
10162,macRue,KFLR,3261.0,Kafalar eSports
10161,QutionerX,KFLR,3261.0,Kafalar eSports
10160,Izzy,SMB,4567.0,SuperMassive Blaze
10158,ibli5,TBG,2908.0,Thunderbolts Gaming
10157,Vee,TBG,2908.0,Thunderbolts Gaming
10156,DubzWoW,TBG,2908.0,Thunderbolts Gaming
10155,corr0,TBG,2908.0,Thunderbolts Gaming
10153,NecroMyThe,COUS,3965.0,COUSINS
10146,reazy,AUR,2903.0,Team Aurora
10144,SquaLw0w,ALFA,2625.0,ALFA Esport
10143,VASQUEZ,AUR,2903.0,Team Aurora
10142,SherX,ALFA,2625.0,ALFA Esport
10141,SnapS,NORG,3474.0,Orgless5
10139,Wizard,KFLR,3261.0,Kafalar eSports
10138,them1s,KAST,4779.0,KASTIRALIS
10137,ip0TT,KFLR,3261.0,Kafalar eSports
10136,CNKa,KFLR,3261.0,Kafalar eSports
10127,jonx,GAL,4762.0,Galakticos
10126,mt1xo,RARE,1913.0,RARE Esports
10125,qw1,FTBL,1184.0,Futbolist
10119,JewNNN,AUR,2903.0,Team Aurora
10118,W4siLi,BJK,2036.0,Besiktas Esports
10117,JevLes,SB,4249.0,SIZDIM BEKLE
10109,wisekhan,SB,4249.0,SIZDIM BEKLE
10106,t1n,WR,6379.0,Waverunners
10104,spex,WR,6379.0,Waverunners
10102,Natroff,WR,6379.0,Waverunners
10101,dothem,BJK,2036.0,Besiktas Esports
10096,DarKooh,EURO,4620.0,Europe Savios
10095,xixe,EURO,4620.0,Europe Savios
10093,mech,EURO,4620.0,Europe Savios
10092,reLOADED,VRTX,6047.0,VERTEX
10091,Rx7,SN,1405.0,Shadownet
10090,stevens,DW,1352.0,Dire Wolves
10089,andy,BTS,4468.0,McBTSMac
10088,trungkb,TILT,873.0,Tilted
10087,andr,AGG,2827.0,AGG
10086,Phucyy,AGG,2827.0,AGG
10085,DIEZAY,GG,6195.0,Team Galaga
10084,cjh,PIGE,4695.0,Pigeons Esports
10083,diav,MF,591.0,Mindfreak
10082,666,RFD,2802.0,Reformed
10074,Swifts,AE,4996.0,Altered Edge
10072,SLACKER,HGG,4692.0,HorizonGG
10071,JGM,EX-L,6651.0,ex-Limit
10060,Instxnct,THIC,2784.0,ThiccWRECK
