Model,AccTrain,AccTest
DecisionTreeClassifier,0.9998760228118027,0.8066522053506869
DecisionTreeClassifier,0.9999380114059013,0.8063629790310918
DecisionTreeClassifier,0.9999380114059013,0.8057845263919017
DecisionTreeClassifier,0.9999380114059013,0.8109906001446131
DecisionTreeClassifier,0.9998760228118027,0.8044830079537237
DecisionTreeClassifier,1.0,0.8041937816341287
DecisionTreeClassifier,0.9998760228118027,0.8160520607375271
DecisionTreeClassifier,1.0,0.8112798264642083
DecisionTreeClassifier,0.9998760228118027,0.8010122921185828
DecisionTreeClassifier,0.9999380114059013,0.8
