Model,AccTrain,AccTest
DecisionTreeClassifier,1.0,0.928705712219812
DecisionTreeClassifier,1.0,0.9301518438177874
DecisionTreeClassifier,1.0,0.9198843094721619
DecisionTreeClassifier,1.0,0.9256688358640637
DecisionTreeClassifier,1.0,0.9274041937816341
DecisionTreeClassifier,1.0,0.9310195227765726
DecisionTreeClassifier,1.0,0.923644251626898
DecisionTreeClassifier,1.0,0.9194504699927694
DecisionTreeClassifier,1.0,0.9288503253796095
DecisionTreeClassifier,1.0,0.9246565437454808
RandomForestClassifier,1.0,0.9479392624728851
RandomForestClassifier,1.0,0.9492407809110629
RandomForestClassifier,1.0,0.9446131597975416
RandomForestClassifier,1.0,0.9433116413593637
RandomForestClassifier,0.9999380114059013,0.9454808387563268
RandomForestClassifier,1.0,0.9457700650759219
RandomForestClassifier,1.0,0.9463485177151121
RandomForestClassifier,1.0,0.9446131597975416
RandomForestClassifier,1.0,0.9420101229211858
RandomForestClassifier,1.0,0.9408532176428055
KNeighborsClassifier,0.9582816761715844,0.9467823571945047
KNeighborsClassifier,0.9600173568063476,0.939117859725235
KNeighborsClassifier,0.9597074138358542,0.9434562545191613
KNeighborsClassifier,0.9589015621125713,0.9443239334779465
KNeighborsClassifier,0.9598313910240516,0.942299349240781
KNeighborsClassifier,0.96131911728242,0.9417208966015908
KNeighborsClassifier,0.9592734936771634,0.9434562545191613
KNeighborsClassifier,0.9596454252417556,0.9434562545191613
KNeighborsClassifier,0.9599553682122489,0.9414316702819957
KNeighborsClassifier,0.9604512769650384,0.9462039045553146
LogisticRegression,0.962496900570295,0.9596529284164859
LogisticRegression,0.9614430944706174,0.9637020968908171
LogisticRegression,0.9613811058765187,0.9626898047722343
LogisticRegression,0.9625588891643938,0.9602313810556761
LogisticRegression,0.9620629804116043,0.9610990600144613
LogisticRegression,0.9637986610463675,0.958062183658713
LogisticRegression,0.9620629804116043,0.9622559652928416
LogisticRegression,0.9620009918175055,0.9610990600144613
LogisticRegression,0.9616910488470122,0.9619667389732466
LogisticRegression,0.9629308207289858,0.9602313810556761
SVC,0.9527646912968014,0.9482284887924801
SVC,0.950285147532854,0.9528561099060014
SVC,0.9507190676915448,0.9516992046276211
SVC,0.9501611703446566,0.9531453362255965
SVC,0.9514009422266303,0.9492407809110629
SVC,0.9507190676915448,0.9516992046276211
SVC,0.950285147532854,0.9509761388286334
SVC,0.9496032729977684,0.9563268257411425
SVC,0.9508430448797421,0.9521330441070137
SVC,0.9510909992561368,0.9524222704266089
GradientBoostingClassifier,0.9618150260352095,0.9535791757049892
GradientBoostingClassifier,0.962124969005703,0.9547360809833695
GradientBoostingClassifier,0.9609471857178279,0.956760665220535
GradientBoostingClassifier,0.9621869575998017,0.9528561099060014
GradientBoostingClassifier,0.9619390032234069,0.9547360809833695
GradientBoostingClassifier,0.9625588891643938,0.953000723065799
GradientBoostingClassifier,0.9622489461939003,0.9538684020245842
GradientBoostingClassifier,0.9620009918175055,0.9557483731019523
GradientBoostingClassifier,0.9610091743119266,0.9550253073029645
GradientBoostingClassifier,0.9606992313414332,0.9560375994215473
AdaBoostClassifier,0.9540664517728737,0.9482284887924801
AdaBoostClassifier,0.9522687825440119,0.9524222704266089
AdaBoostClassifier,0.9563600297545252,0.9446131597975416
AdaBoostClassifier,0.9542524175551699,0.9558929862617498
AdaBoostClassifier,0.9544383833374659,0.9537237888647867
AdaBoostClassifier,0.9546863377138607,0.9488069414316703
AdaBoostClassifier,0.9556781552194397,0.9505422993492407
AdaBoostClassifier,0.9548723034961567,0.953000723065799
AdaBoostClassifier,0.9553682122489462,0.9521330441070137
AdaBoostClassifier,0.9543144061492685,0.9515545914678236
