BuyType,TeamWin,Count,Percent
eco,False,26323,0.914596435148188
eco,True,2458,0.08540356485181196
full-buy,False,150787,0.4332287518603435
full-buy,True,197267,0.5667712481396565
semi-buy,False,61663,0.47653013910355485
semi-buy,True,67737,0.5234698608964451
semi-eco,False,36602,0.822239694485005
semi-eco,True,7913,0.17776030551499494
