Model,AccTrain,AccTest
DecisionTreeClassifier,0.9999380114059013,0.8121475054229935
DecisionTreeClassifier,1.0,0.8020245842371656
DecisionTreeClassifier,1.0,0.813882863340564
DecisionTreeClassifier,0.9999380114059013,0.8114244396240058
DecisionTreeClassifier,0.9999380114059013,0.8017353579175704
DecisionTreeClassifier,1.0,0.8098336948662328
DecisionTreeClassifier,1.0,0.8065075921908894
DecisionTreeClassifier,0.9999380114059013,0.8098336948662328
DecisionTreeClassifier,0.9999380114059013,0.8024584237165582
DecisionTreeClassifier,1.0,0.8060737527114967
RandomForestClassifier,0.9999380114059013,0.8587129428778019
RandomForestClassifier,0.9999380114059013,0.8496023138105567
RandomForestClassifier,0.9999380114059013,0.8592913955169921
RandomForestClassifier,0.9999380114059013,0.8503253796095445
RandomForestClassifier,0.9999380114059013,0.8592913955169921
RandomForestClassifier,0.9999380114059013,0.85234996384671
RandomForestClassifier,0.9999380114059013,0.8530730296456978
RandomForestClassifier,1.0,0.8533622559652928
RandomForestClassifier,1.0,0.853940708604483
RandomForestClassifier,0.9998760228118027,0.8655097613882863
KNeighborsClassifier,0.8926977436151748,0.8328271872740419
KNeighborsClassifier,0.8888544507810563,0.8433839479392625
KNeighborsClassifier,0.893441606744359,0.8361532899493854
KNeighborsClassifier,0.8919538804859906,0.8257411424439624
KNeighborsClassifier,0.8890404165633523,0.8386117136659436
KNeighborsClassifier,0.8888544507810563,0.833116413593637
KNeighborsClassifier,0.8913959831391024,0.8357194504699927
KNeighborsClassifier,0.8891643937515498,0.8364425162689805
KNeighborsClassifier,0.8907141086040169,0.8391901663051338
KNeighborsClassifier,0.8928837093974709,0.8325379609544469
LogisticRegression,0.8635631043887925,0.8620390455531454
LogisticRegression,0.8648648648648649,0.8582791033984093
LogisticRegression,0.8639970245474833,0.8597252349963846
LogisticRegression,0.8609595834366477,0.8673897324656544
LogisticRegression,0.862881229853707,0.8621836587129429
LogisticRegression,0.8626952640714108,0.8634851771511207
LogisticRegression,0.8612075378130424,0.8652205350686912
LogisticRegression,0.861889412348128,0.8631959508315257
LogisticRegression,0.8626332754773122,0.8627621113521331
LogisticRegression,0.8636250929828911,0.8591467823571945
SVC,0.8667865112819241,0.8653651482284888
SVC,0.8653607736176544,0.8656543745480839
SVC,0.8643689561120754,0.868112798264642
SVC,0.8649888420530623,0.8679681851048445
SVC,0.8667865112819241,0.8633405639913232
SVC,0.8668484998760229,0.8633405639913232
SVC,0.8676543515993057,0.860882140274765
SVC,0.8649268534589636,0.8672451193058568
SVC,0.8649268534589636,0.8701373825018076
SVC,0.8661666253409372,0.8650759219088937
GradientBoostingClassifier,0.8726754277212992,0.8673897324656544
GradientBoostingClassifier,0.8732333250681874,0.8652205350686912
GradientBoostingClassifier,0.8735432680386809,0.8652205350686912
GradientBoostingClassifier,0.8751549714852467,0.8577006507592191
GradientBoostingClassifier,0.8713116786511282,0.8616052060737527
GradientBoostingClassifier,0.8756508802380362,0.8600144613159798
GradientBoostingClassifier,0.8706298041160426,0.8624728850325379
GradientBoostingClassifier,0.873915199603273,0.8629067245119306
GradientBoostingClassifier,0.8716836102157203,0.8616052060737527
GradientBoostingClassifier,0.8753409372675428,0.8569775849602314
AdaBoostClassifier,0.8568683362261343,0.8563991323210413
AdaBoostClassifier,0.8576121993553186,0.8456977584960231
AdaBoostClassifier,0.8589139598313911,0.853651482284888
AdaBoostClassifier,0.8555045871559633,0.8522053506869125
AdaBoostClassifier,0.8532110091743119,0.8556760665220535
AdaBoostClassifier,0.8550706669972725,0.8562545191612436
AdaBoostClassifier,0.8540788494916935,0.8545191612436732
AdaBoostClassifier,0.8563104388792462,0.8584237165582068
AdaBoostClassifier,0.8549466898090752,0.8548083875632683
AdaBoostClassifier,0.8581081081081081,0.8543745480838756
