FirstKills,TeamWin,Count,Percent
0.0,False,21,0.9130434782608695
0.0,True,2,0.08695652173913043
1.0,False,68,0.9066666666666666
1.0,True,7,0.09333333333333334
2.0,False,195,0.9420289855072463
2.0,True,12,0.057971014492753624
3.0,False,346,0.9746478873239437
3.0,True,9,0.02535211267605634
4.0,False,581,0.9748322147651006
4.0,True,15,0.025167785234899327
5.0,False,829,0.9583815028901734
5.0,True,36,0.04161849710982659
6.0,False,1084,0.9109243697478991
6.0,True,106,0.08907563025210084
7.0,False,1264,0.8299409061063691
7.0,True,259,0.170059093893631
8.0,False,1358,0.6879432624113475
8.0,True,616,0.3120567375886525
9.0,False,1369,0.5497991967871486
9.0,True,1121,0.4502008032128514
10.0,False,1248,0.41907320349227667
10.0,True,1730,0.5809267965077233
11.0,False,1089,0.34407582938388626
11.0,True,2076,0.6559241706161137
12.0,False,821,0.2976794778825236
12.0,True,1937,0.7023205221174764
13.0,False,642,0.28660714285714284
13.0,True,1598,0.7133928571428572
14.0,False,398,0.2639257294429708
14.0,True,1110,0.7360742705570292
15.0,False,249,0.26545842217484006
15.0,True,689,0.7345415778251599
16.0,False,135,0.2800829875518672
16.0,True,347,0.7199170124481328
17.0,False,78,0.30708661417322836
17.0,True,176,0.6929133858267716
18.0,False,37,0.33636363636363636
18.0,True,73,0.6636363636363637
19.0,False,30,0.4225352112676056
19.0,True,41,0.5774647887323944
20.0,False,12,0.36363636363636365
20.0,True,21,0.6363636363636364
21.0,False,10,0.5555555555555556
21.0,True,8,0.4444444444444444
22.0,False,5,0.38461538461538464
22.0,True,8,0.6153846153846154
23.0,True,2,1.0
24.0,True,3,1.0
25.0,True,1,1.0
