DefusesPerGame,TeamWin,Count,Percent
0,False,2707,0.706419624217119
0,True,1125,0.293580375782881
1,False,3331,0.587063799788509
1,True,2343,0.412936200211491
2,False,2699,0.48343184667741357
2,True,2884,0.5165681533225864
3,False,1586,0.39759338179994985
3,True,2403,0.6024066182000501
4,False,727,0.3152645273200347
4,True,1579,0.6847354726799653
5,False,288,0.2681564245810056
5,True,786,0.7318435754189944
6,False,73,0.18575063613231552
6,True,320,0.8142493638676844
7,False,23,0.16083916083916083
7,True,120,0.8391608391608392
8,False,4,0.14285714285714285
8,True,24,0.8571428571428571
9,False,1,0.25
9,True,3,0.75
10,True,2,1.0
